Reaction Time,Reversal Duration
0.5125,5.125
0.4875,10.4625
0.4875,8.5875
0.5625,3.75
0.475,9.9375
0.4625,8.9125
0.4625,8.2875
0.6,13.4
0.5125,2.8375
0.5,2.7
0.4,16.575
0.5125,3.0625
0.4125,9.8875
0.4625,2.95
0.5,5.7875
0.4625,5.775
0.525,12.025
0.5625,6.8625
0.4875,2.8375
0.4875,6.725
0.5625,11.2375
0.5875,3.325
0.5,4.5125
0.2875,13.225
0.5125,1.9125
0.4875,3.4
0.5,2.65
0.575,13.9
0.525,7.0125
0.4,2.4875
0.4625,7.6125
0.525,11.6875
0.5375,15.025
0.45,4.85
0.475,3.5625
0.5,3.375
0.5,2.275
0.3875,4.3875
0.425,18.4
0.8125,2.725
0.35,1.5625
1.8125,2.1125
0.55,11.6875
0.5,3.2375
0.4875,3.5875
0.55,2.45
0.475,2.5875
0.1625,22.85
0.475,4.75
0.55,5.975
0.575,5.0875
0.3375,13.2375
0.375,25.5
0.625,3.6125
0.65,6.5125
0.45,6.9625
0.4625,15.175
0.4375,21.45
0.55,12.5125
0.45,3.8875
0.675,15.85
0.3125,12.5875
1.575,13.775
0.8125,11.225
0.4875,13.7375
0.5125,14.125
0.425,14.05
0.3,9.075
0.475,11.825
0.425,7.7625
0.45,15.275
0.425,11.5875
0.4125,7.375
0.4375,19.6375
0.4875,13.675
0.3875,13.2875
0.3375,10.3875
0.425,9.5125
0.45,12.225
0.4375,9.675
0.4375,4.4125
0.5625,6.0625
0.4,12.2375
0.4625,9.625
0.4375,6.5625
0.5125,13.225
0.5125,12.2125
0.5125,3.825
0.45,11.525
0.4375,12.0125
0.475,9.0375
0.5125,8.875
0.3875,6.2
0.9375,3.3375
0.5375,16.275
0.525,3.35
0.4625,10.0625
0.4125,5.3
1.0125,7.6125
1.5375,2.8
1.1,3.2625
0.6,7.575
1.2,13.2125
0.7875,5.9125
1.0875,2.65
1.6125,10.6875
0.775,6.025
1.0875,3.9875
1.4375,5.75
0.725,14.8625
1.2375,2.15
0.15,17.875
0.675,0.9
1.2625,2.9375
1.8,4.8
0.5625,6.85
1.225,2.825
1.075,5.425
1.1375,15.075
0.625,17.275
0.875,6.6375
1.2375,2.1375
0.9875,20.1375
0.7375,8.0625
0.8875,2.65
0.8125,3.1625
0.5875,6.5125
0.6,6.7875
0.4375,16.2875
1.0375,4.9125
0.5375,16.2875
1.175,2.5125
0.55,6.2125
1.35,11.1625
0.675,6.9
0.6625,17.2375
0.5375,3.2375
0.725,8.725
0.975,3.0625
0.8625,10.4625
1.25,4.625
1.2125,17.8125
1.0625,6.025
1.4125,7.8875
0.675,8.425
1.6,6.6
1.5375,9.95
1.6125,2.075
1.9875,2.3875
0.95,2.1875
0.8,10.9875
1.3125,2.45
0.5875,3.0
0.675,7.1625
1.05,4.7375
0.625,5.2125
0.6125,6.375
1.125,7.475
0.7625,4.25
0.4375,5.325
0.9875,6.2875
0.475,3.7875
0.8625,5.5875
0.7375,7.7375
0.7375,18.7
0.675,2.975
1.8625,2.875
0.6125,6.625
1.5125,9.1375
1.0,7.1625
0.65,11.25
1.3875,5.875
1.2625,2.825
1.2875,13.3125
0.8125,7.2625
0.525,4.9875
0.5,5.7375
0.875,3.6625
0.7625,4.475
1.05,1.85
1.275,1.9875
0.6125,10.775
0.5,5.625
0.525,9.225
0.025,8.825
0.525,6.5125
0.9875,9.825
1.2,5.0625
0.9625,2.275
0.6625,3.5625
0.9625,2.4
0.4875,2.7375
0.525,6.75
0.475,6.85
1.075,9.0625
0.2875,8.9875
0.6,8.4875
0.5125,7.85
0.5375,10.525
0.6,8.175
0.6625,12.2375
0.6,12.925
0.5625,6.3375
0.6625,9.675
0.5875,5.0
0.675,9.15
0.65,22.1
0.625,2.9625
0.425,15.95
0.625,15.5625
0.6125,4.3
0.5125,6.4625
0.425,12.325
0.6375,18.325
0.65,14.85
0.6875,4.775
0.6875,4.1
0.6625,5.725
0.475,8.025
0.6125,8.15
0.6875,24.2375
0.6375,5.1875
0.4125,3.6375
0.4875,4.1625
0.475,14.85
0.5625,14.1
0.625,3.0375
0.525,2.9625
0.7,3.45
0.85,20.55
0.575,9.45
0.575,6.775
0.675,6.8625
0.5625,15.5125
0.525,3.1375
0.5125,11.05
0.6625,4.35
0.5375,4.5125
0.6875,9.4625
0.5,17.375
0.5375,7.3625
0.6125,5.1375
0.775,6.1
0.8125,22.375
0.5875,4.8375
0.675,2.6
0.75,6.225
0.6375,3.4625
0.525,5.6375
0.5875,10.8
0.4875,3.5625
0.475,7.5
0.45,19.1
0.475,3.6
0.55,18.575
0.55,5.375
0.55,7.65
0.35,4.9625
0.55,11.3875
0.55,3.1875
0.5125,22.1375
0.8125,2.9875
0.675,2.7125
0.575,20.6125
0.575,3.9125
0.5875,5.525
0.55,25.7625
0.5625,18.35
0.7125,2.2375
0.5875,4.475
0.2875,6.1125
0.6125,23.8
0.5125,4.1875
0.65,2.9125
1.6125,2.775
0.675,18.1125
0.6625,20.8
0.6125,3.725
0.5625,6.375
0.625,4.1125
0.5875,2.4375
0.4875,5.5375
0.525,4.2625
0.6,6.425
0.4875,16.1
0.6375,14.1375
0.65,3.3375
0.425,14.1125
0.45,7.5
0.4875,3.925
0.5625,8.5625
0.4625,13.725
0.6,18.5
0.4875,2.675
0.5125,3.5875
0.4875,9.5625
0.4875,11.925
0.4375,4.35
0.5625,3.45
0.5625,2.85
0.55,11.4875
1.5375,2.475
0.525,7.8375
0.2625,16.1875
0.5625,8.45
0.425,10.3875
1.525,2.9375
0.6125,7.3375
0.525,5.3375
0.6625,6.475
0.5375,6.2875
0.5125,2.4125
0.5,3.55
0.725,5.7625
0.7125,4.3125
0.5125,12.1
0.5,16.925
0.5875,9.8
0.5625,17.2875
0.5375,10.4375
0.4,3.9
0.525,4.875
0.5875,6.0375
0.45,5.2625
0.5,8.0
0.45,10.75
0.725,9.35
0.625,15.4875
0.75,5.4
0.4875,14.675
0.5625,2.7
0.525,5.7125
0.4125,2.9875
0.5625,8.425
0.5375,5.8375
1.1,17.875
1.275,12.925
0.5625,2.9625
0.7,7.1875
0.725,6.0875
1.275,5.275
0.675,3.2
0.525,7.5625
1.825,5.75
0.65,20.05
0.4875,4.225
0.525,12.525
0.5375,6.1625
0.6125,2.675
0.625,4.7
0.375,15.4375
0.45,19.825
0.8375,31.25
0.7,2.725
0.5375,2.225
0.85,35.975
0.875,5.85
0.725,20.3
1.0125,14.9125
0.5625,5.15
0.3125,2.6875
0.5375,16.875
0.6,21.1375
0.5,2.5
0.4,25.75
1.5875,23.9375
1.075,4.25
